mac_cliente,mac_ap,banda,antena,rssi,date,time
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-77,2018-04-16,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-73,2018-04-16,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-88,2018-04-16,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-76,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-94,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-88,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-84,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-83,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-43,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-40,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-61,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-56,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-98,2018-04-16,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-98,2018-04-16,15:05
40.39.191.157.33.63,0.66.104.213.240.0,0,0,-96,2018-04-16,15:05
40.39.191.157.33.63,0.66.104.213.240.0,0,1,-98,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.106.167.16,0,0,-89,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.106.167.16,0,1,-92,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.125.172.128,0,0,-97,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.125.172.128,0,1,-98,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.127.103.160,0,0,-68,2018-04-16,15:05
40.39.191.157.33.63,44.208.45.127.103.160,0,1,-79,2018-04-16,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,0,-79,2018-04-16,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,1,-75,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,0,-80,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,1,-82,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,0,-80,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,1,-87,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,0,-59,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,1,-54,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,0,-92,2018-04-16,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,1,-94,2018-04-16,15:05
172.43.110.145.169.216,0.66.104.213.240.0,1,0,-76,2018-04-16,15:05
172.43.110.145.169.216,0.66.104.213.240.0,1,1,-69,2018-04-16,15:05
172.43.110.145.169.216,44.208.45.127.67.64,0,0,-55,2018-04-16,15:05
172.43.110.145.169.216,44.208.45.127.67.64,0,1,-49,2018-04-16,15:05
172.43.110.145.169.216,44.208.45.127.67.64,1,0,-46,2018-04-16,15:05
172.43.110.145.169.216,44.208.45.127.67.64,1,1,-43,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,0,-38,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,1,-47,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.125.172.128,1,0,-71,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.125.172.128,1,1,-75,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.127.67.64,0,0,-94,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.127.67.64,0,1,-96,2018-04-16,15:05
216.252.147.127.63.210,44.208.45.127.103.160,0,0,-80,2018-04-16,15:05
