mac_cliente,mac_ap,banda,antena,rssi,date,time
8.212.12.130.83.142,44.208.45.127.103.160,1,1,-58,2018-10-12,11:05
104.83.88.164.143.120,0.66.104.213.240.0,0,0,-97,2018-10-12,11:05
104.83.88.164.143.120,0.66.104.213.240.0,0,1,-97,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.106.167.16,0,0,-78,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.106.167.16,0,1,-72,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.106.167.16,1,0,-58,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.106.167.16,1,1,-63,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.125.172.128,1,0,-83,2018-10-12,11:05
104.83.88.164.143.120,44.208.45.125.172.128,1,1,-91,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.125.172.128,0,0,-63,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.125.172.128,0,1,-61,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.125.172.128,1,0,-94,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.125.172.128,1,1,-85,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.127.67.64,0,0,-98,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.127.67.64,0,1,-96,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.127.103.160,0,0,-82,2018-10-12,11:05
104.83.88.164.143.196,44.208.45.127.103.160,0,1,-85,2018-10-12,11:05
160.136.105.217.238.170,0.66.104.213.240.0,0,0,-40,2018-10-12,11:05
160.136.105.217.238.170,0.66.104.213.240.0,0,1,-41,2018-10-12,11:05
160.136.105.217.238.170,0.66.104.213.240.0,1,0,-65,2018-10-12,11:05
160.136.105.217.238.170,0.66.104.213.240.0,1,1,-60,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.106.167.16,0,0,-98,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.106.167.16,0,1,-98,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.125.172.128,0,0,-95,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.125.172.128,0,1,-94,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.67.64,0,0,-47,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.67.64,0,1,-56,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.67.64,1,0,-60,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.67.64,1,1,-53,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.103.160,0,0,-96,2018-10-12,11:05
160.136.105.217.238.170,44.208.45.127.103.160,0,1,-98,2018-10-12,11:05
160.136.105.218.21.36,0.66.104.213.240.0,0,0,-51,2018-10-12,11:05
160.136.105.218.21.36,0.66.104.213.240.0,0,1,-45,2018-10-12,11:05
160.136.105.218.21.36,0.66.104.213.240.0,1,0,-59,2018-10-12,11:05
160.136.105.218.21.36,0.66.104.213.240.0,1,1,-51,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.106.167.16,0,0,-84,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.106.167.16,0,1,-90,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.106.167.16,1,0,-90,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.106.167.16,1,1,-90,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.125.172.128,0,0,-95,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.125.172.128,0,1,-93,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.67.64,0,0,-45,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.67.64,0,1,-38,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.67.64,1,0,-57,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.67.64,1,1,-55,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.103.160,0,0,-98,2018-10-12,11:05
160.136.105.218.21.36,44.208.45.127.103.160,0,1,-95,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.106.167.16,1,0,-46,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.106.167.16,1,1,-42,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.125.172.128,0,0,-77,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.125.172.128,0,1,-59,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.127.67.64,0,0,-97,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.127.67.64,0,1,-87,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.127.103.160,0,0,-75,2018-10-12,11:05
160.136.105.218.32.35,44.208.45.127.103.160,0,1,-77,2018-10-12,11:05
160.136.105.218.36.181,0.66.104.213.240.0,0,0,-54,2018-10-12,11:05
160.136.105.218.36.181,0.66.104.213.240.0,0,1,-47,2018-10-12,11:05
160.136.105.218.36.181,0.66.104.213.240.0,1,0,-58,2018-10-12,11:05
160.136.105.218.36.181,0.66.104.213.240.0,1,1,-49,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.106.167.16,0,0,-87,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.106.167.16,0,1,-90,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.127.67.64,0,0,-43,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.127.67.64,0,1,-50,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.127.67.64,1,0,-57,2018-10-12,11:05
160.136.105.218.36.181,44.208.45.127.67.64,1,1,-59,2018-10-12,11:05
160.211.122.242.202.176,0.66.104.213.240.0,0,0,-92,2018-10-12,11:05
160.211.122.242.202.176,0.66.104.213.240.0,0,1,-95,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.106.167.16,0,0,-52,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.106.167.16,0,1,-44,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.106.167.16,1,0,-48,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.106.167.16,1,1,-51,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.125.172.128,0,0,-52,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.125.172.128,0,1,-53,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.125.172.128,1,0,-61,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.125.172.128,1,1,-60,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.67.64,0,0,-88,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.67.64,0,1,-93,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.103.160,0,0,-76,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.103.160,0,1,-89,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.103.160,1,0,-87,2018-10-12,11:05
160.211.122.242.202.176,44.208.45.127.103.160,1,1,-85,2018-10-12,11:05
